sector_name,companies_1990s,companies_2000s,companies_2010s,companies_2020s,total_companies,post_2000_percentage
Accommodation and Food Service Activities,4536,10114,32369,52535,99554,95.4
"Water Supply; Sewerage, Waste Management and Remediation Activities",5052,12646,34203,50702,102603,95.1
"Publishing, Broadcasting, Content Production, Distribution Activities",7257,11646,32286,39977,91166,92.0
"Professional, Scientific and Technical Activities",20046,32397,71472,106971,230886,91.3
"Agriculture, Forestry and Fishing",21753,39618,73319,96809,231499,90.6
"Arts, Sports and Recreation",7543,12307,23478,32638,75966,90.1
Administrative and Support Service Activities,23840,37454,77437,99783,238514,90.0
"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",25379,42583,83975,96270,248207,89.8
Manufacturing,72451,111767,195083,267979,647280,88.8
Other Service Activities,2241,2905,5528,8592,19266,88.4
Construction,17629,32918,38831,49059,138437,87.3
"Electricity, Gas, Steam and Air Conditioning Supply",23,24,27,89,163,85.9
Activities of Extraterrestrial Organizations And Bodies,26448,41307,52937,64787,185479,85.7
Mining and Quarrying,1749,1980,3552,4972,12253,85.7
Real Estate Activities,2395,3147,5003,4125,14670,83.7