sector_name,total_enterprises,cessation_rate,recent_entry_rate,avg_company_age,industry_archetype
No NACE Code Available,674957,0.0,19.95,23.8,ğŸ† Invisible Champion
"Public Administration and Defence, Compulsory Social Security",1159,0.0,14.58,25.8,ğŸ† Invisible Champion
Accommodation and Food Service Activities,102782,0.0,114.6,9.0,ğŸŒŠ New popular Industry
Activities Households AS Employers and Undifferentiated Goods-And Service-Producing Activities Of Households For Own Use,98,0.0,0.0,33.3,ğŸ›ï¸ Traditional stability
Activities of Extraterrestrial Organizations And Bodies,207136,0.0,55.34,16.2,ğŸŒŠ New popular Industry
Administrative and Support Service Activities,260712,0.0,88.28,14.2,ğŸŒŠ New popular Industry
"Agriculture, Forestry and Fishing",247847,0.0,78.52,12.6,ğŸŒŠ New popular Industry
"Arts, Sports and Recreation",81422,0.0,99.22,13.3,ğŸŒŠ New popular Industry
Construction,149760,0.0,78.8,13.8,ğŸŒŠ New popular Industry
Education,2297,0.0,0.61,29.9,ğŸ›ï¸ Traditional stability
"Electricity, Gas, Steam and Air Conditioning Supply",194,0.0,69.59,19.3,ğŸŒŠ New popular Industry
Financial and Insurance Activities,39894,0.0,55.34,19.7,ğŸŒŠ New popular Industry
Human Health and Social Work Activities,817,0.0,0.12,36.0,ğŸ›ï¸ Traditional stability
Manufacturing,711204,0.0,150.19,13.1,ğŸŒŠ New popular Industry
Mining and Quarrying,14155,0.0,98.83,15.5,ğŸŒŠ New popular Industry
Other Service Activities,21540,0.0,90.24,15.5,ğŸŒŠ New popular Industry
"Professional, Scientific and Technical Activities",247593,0.0,92.15,13.1,ğŸŒŠ New popular Industry
"Publishing, Broadcasting, Content Production, Distribution Activities",97832,0.0,52.3,12.5,ğŸŒŠ New popular Industry
Real Estate Activities,17830,0.0,26.9,20.8,ğŸ›ï¸ Traditional stability
"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",270090,0.0,83.87,13.9,ğŸŒŠ New popular Industry
Transportation and Storage,181189,0.0,67.82,17.9,ğŸŒŠ New popular Industry
"Water Supply; Sewerage, Waste Management and Remediation Activities",105775,0.0,93.8,10.3,ğŸŒŠ New popular Industry
Wholesale and Retail Trade,2904,0.0,0.96,28.9,ğŸ›ï¸ Traditional stability