sector_name,years_with_data,total_new_companies_2015_2025,avg_annual_new_companies,avg_yoy_growth_rate,min_growth_rate,max_growth_rate
"Electricity, Gas, Steam and Air Conditioning Supply",10,108,10.8,195.41,-90.0,900.0
Other Service Activities,10,11756,1175.6,10.75,-46.21,35.95
Accommodation and Food Service Activities,10,72166,7216.6,10.42,-47.97,31.31
Wholesale and Retail Trade,9,50,5.6,10.04,-62.5,100.0
"Arts, Sports and Recreation",10,45106,4510.6,9.17,-54.15,28.0
"Professional, Scientific and Technical Activities",10,145868,14586.8,8.71,-46.93,34.93
Mining and Quarrying,10,6893,689.3,7.84,-44.2,48.61
Manufacturing,10,371018,37101.8,7.62,-48.52,24.59
"Water Supply; Sewerage, Waste Management and Remediation Activities",10,68777,6877.7,7.58,-63.21,27.43
"Public Administration and Defence, Compulsory Social Security",10,124,12.4,7.21,-41.18,122.22
Transportation and Storage,10,67428,6742.8,7.19,-56.98,21.72
"Agriculture, Forestry and Fishing",10,135929,13592.9,7.08,-54.65,26.95
Construction,10,70027,7002.7,5.79,-53.59,25.19
Administrative and Support Service Activities,10,140572,14057.2,5.68,-59.4,27.91
"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",10,140966,14096.6,5.12,-51.5,20.09